,StO2_1,bvf_1,mvf_1,a_mie_1,b_mie_1,g_1,n_1,d_1 (um),StO2_2,bvf_2,mvf_2,a_mie_2,b_mie_2,g_2,n_2,d_2 (um),StO2_3,bvf_3,mvf_3,a_mie_3,b_mie_3,g_3,n_3,d_3 (um)
13,0,0,0.03,60,0.4,0.889285714,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
14,0,0,0.03,60,0.4,0.9,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
0,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.75,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
1,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.760714286,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
2,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.771428571,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
3,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.782142857,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
4,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.792857143,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
5,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.803571429,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
6,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.814285714,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
7,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.825,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
8,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.835714286,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
9,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.846428571,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
10,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.857142857,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
11,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.867857143,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
12,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.878571429,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
13,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.889285714,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
14,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.9,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
0,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.7,1.44,1500
1,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.714285714,1.44,1500
2,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.728571429,1.44,1500
3,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.742857143,1.44,1500
4,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.757142857,1.44,1500
5,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.771428571,1.44,1500
6,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.785714286,1.44,1500
7,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.8,1.44,1500
8,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.814285714,1.44,1500
9,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.828571429,1.44,1500
10,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.842857143,1.44,1500
11,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.857142857,1.44,1500
12,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.871428571,1.44,1500
13,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.885714286,1.44,1500
14,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.9,1.44,1500
