layer0_sao2,layer0.1_vhb,layer0.2_a_mie,layer0.3_b_mie,layer0.4_a_ray,layer0.5_g,layer0.6_n,layer0.7_d,layer1_sao2,layer1.1_vhb,layer1.2_a_mie,layer1.3_b_mie,layer1.4_a_ray,layer1.5_g,layer1.6_n,layer1.7_d,layer2_sao2,layer2.1_vhb,layer2.2_a_mie,layer2.3_b_mie,layer2.4_a_ray,layer2.5_g,layer2.6_n,layer2.7_d,460.46848,470.85913,475.64023,487.55966,495.06268,505.49545,516.9379,524.29926,536.7569,544.5972,555.9696,562.3306,574.3978,581.5989,588.1238,598.2659
0.5683356,0.022577435,3213.9016,1.286,0.0,0.92495584,1.36,0.0007734821,0.5683356,0.017817238,2600.6763,1.286,0.0,0.8599781,1.36,0.0006351488,0.5683356,0.021207256,1376.5376,1.286,0.0,0.92708653,1.38,0.00059803046,0.27467018,0.2959601,0.30584842,0.30257744,0.29038027,0.2860316,0.26257968,0.24637836,0.21206525,0.20788029,0.20990533,0.21204565,0.21915087,0.23395129,0.2747216,0.3445221
0.99528587,0.0014444229,929.0543,1.286,0.0,0.9165631,1.36,0.00087384455,0.99528587,0.0049186465,650.67865,1.286,0.0,0.8201249,1.36,0.00046535823,0.99528587,0.099742025,3168.9548,1.286,0.0,0.8546418,1.38,0.0005078931,0.2541571,0.26123878,0.26518306,0.26499763,0.2608681,0.261357,0.24667883,0.23538172,0.21201426,0.2109028,0.21459965,0.21440165,0.21162131,0.21899319,0.25605834,0.32228506
0.1332903,0.0620331,933.0928,1.286,0.0,0.8231226,1.36,0.0009867799,0.1332903,0.030945549,1531.074,1.286,0.0,0.8431185,1.36,0.00064453966,0.1332903,0.013741913,1170.3546,1.286,0.0,0.84471333,1.38,0.00041470485,0.06509128,0.07821781,0.08376482,0.07525292,0.06268396,0.053363994,0.042802766,0.037473757,0.028710606,0.026609063,0.024830965,0.025517343,0.031648386,0.03656494,0.047910962,0.073180474
0.75398254,0.09217613,1500.2277,1.286,0.0,0.8903798,1.36,0.0008384221,0.75398254,0.029069558,2619.5166,1.286,0.0,0.9086895,1.36,0.00068168656,0.75398254,0.09887677,289.70456,1.286,0.0,0.8559099,1.38,0.00046444178,0.042424,0.05083181,0.055251025,0.058741122,0.057203844,0.057712384,0.048655234,0.04200608,0.030279962,0.030354457,0.032164462,0.033236306,0.038122583,0.04525272,0.072079755,0.12826134
0.02694108,0.07895594,984.32794,1.286,0.0,0.82575977,1.36,0.00063062465,0.02694108,0.032827217,1750.5011,1.286,0.0,0.9027694,1.36,0.00050893705,0.02694108,0.08204637,2901.811,1.286,0.0,0.8502102,1.38,0.0004913167,0.06855661,0.08353492,0.08948497,0.077571556,0.06219494,0.050446063,0.03937781,0.03410268,0.025817854,0.023563193,0.021430802,0.022142744,0.028767483,0.033566665,0.043252744,0.06562967
0.9523585,0.035293672,3032.5488,1.286,0.0,0.8002427,1.36,0.0008455881,0.9523585,0.07327449,2816.3738,1.286,0.0,0.82603407,1.36,0.00044214324,0.9523585,0.09316937,1374.2546,1.286,0.0,0.9455256,1.38,0.00048820727,0.17652206,0.19484073,0.20409225,0.21224403,0.21136019,0.21686953,0.19805028,0.18217888,0.149052,0.15012693,0.15990631,0.16196387,0.16129863,0.17516175,0.22828618,0.3204854
0.3296741,0.0033047646,2921.9836,1.286,0.0,0.8877592,1.36,0.0007611446,0.3296741,0.035229575,1853.6257,1.286,0.0,0.9144614,1.36,0.0007748134,0.3296741,0.05716984,2678.7998,1.286,0.0,0.8644033,1.38,0.00047442387,0.43998045,0.4474641,0.45048112,0.43686783,0.4211364,0.4109455,0.3938337,0.38400844,0.3628463,0.35606426,0.35077175,0.3501532,0.35416165,0.36008233,0.37668717,0.40648207
0.74995315,0.082845055,3445.4456,1.286,0.0,0.84778094,1.36,0.0008318604,0.74995315,0.04172581,1443.3618,1.286,0.0,0.8115533,1.36,0.00081051246,0.74995315,0.08785953,1896.8905,1.286,0.0,0.9240432,1.38,0.0005955241,0.10718495,0.12182746,0.12917274,0.13258994,0.12863284,0.1291959,0.11375689,0.102300085,0.0798215,0.07919719,0.082849845,0.084401935,0.08899368,0.09977337,0.13732012,0.20833951
0.46527228,0.095154114,1653.2823,1.286,0.0,0.8477482,1.36,0.0006109211,0.46527228,0.037298497,2041.464,1.286,0.0,0.88779706,1.36,0.0004519939,0.46527228,0.004603784,2635.799,1.286,0.0,0.8985284,1.38,0.00044867894,0.057697862,0.06946628,0.07527179,0.07451625,0.06783886,0.06404631,0.052910645,0.046015702,0.03392288,0.03274213,0.03274899,0.033790436,0.04005165,0.047096584,0.068648405,0.113504365
0.11438566,0.031770237,1017.3912,1.286,0.0,0.83153784,1.36,0.00093064207,0.11438566,0.053820536,906.87476,1.286,0.0,0.9461671,1.36,0.0007816096,0.11438566,0.0057717315,2419.6592,1.286,0.0,0.86681104,1.38,0.0005881209,0.11558714,0.13099751,0.13724487,0.1242036,0.10702523,0.09438485,0.07959753,0.07204602,0.05876014,0.054896377,0.051528323,0.05240872,0.0610673,0.06785909,0.08184718,0.111967504
0.99636304,0.04259342,3173.9966,1.286,0.0,0.82308465,1.36,0.0008833318,0.99636304,0.09526777,1686.2986,1.286,0.0,0.9170841,1.36,0.0005920968,0.99636304,0.024854006,3111.801,1.286,0.0,0.85013556,1.38,0.00059630914,0.156766,0.17438896,0.1833825,0.19272761,0.19315004,0.19938457,0.18142572,0.16585733,0.13368876,0.13543922,0.1457701,0.14796361,0.14772506,0.16182232,0.2183758,0.32034415
0.5348595,0.05720602,2244.1655,1.286,0.0,0.90547657,1.36,0.00069340423,0.5348595,0.027664756,2414.1462,1.286,0.0,0.84777206,1.36,0.00072114693,0.5348595,0.007581011,1990.2349,1.286,0.0,0.8206693,1.38,0.00048127346,0.115909286,0.13278143,0.14086916,0.13989885,0.13102783,0.12708881,0.110028125,0.098769836,0.07723547,0.074973084,0.07575081,0.077397294,0.08519679,0.09621646,0.12879732,0.1915643
0.5740401,0.063736275,2908.3977,1.286,0.0,0.81641793,1.36,0.00096560526,0.5740401,0.02430868,2913.4165,1.286,0.0,0.8945636,1.36,0.0005057206,0.5740401,0.06725087,3913.38,1.286,0.0,0.88653064,1.38,0.00044255547,0.12693274,0.14314082,0.15096132,0.15020242,0.1419812,0.1387657,0.12172794,0.11025756,0.087936014,0.08571748,0.08688955,0.08843976,0.09531797,0.10613919,0.13926965,0.20258316
0.16614513,0.08712327,1376.663,1.286,0.0,0.864668,1.36,0.0009359983,0.16614513,0.016103433,695.1251,1.286,0.0,0.80697995,1.36,0.000603105,0.16614513,0.021728566,1449.931,1.286,0.0,0.8838263,1.38,0.0005726355,0.061161213,0.07258547,0.0774973,0.07019732,0.05918532,0.051121645,0.041497555,0.03655037,0.028265972,0.026328811,0.02469979,0.025283758,0.030621141,0.03498824,0.045554526,0.06893177
0.13783158,0.08927609,2245.5215,1.286,0.0,0.948563,1.36,0.0009514864,0.13783158,0.036157995,1728.6565,1.286,0.0,0.8297429,1.36,0.0007008288,0.13783158,0.05824983,3230.9868,1.286,0.0,0.9307988,1.38,0.0005618729,0.09448046,0.108684234,0.114520654,0.10359823,0.088471666,0.07739804,0.064238854,0.057486217,0.045627106,0.04240385,0.03975218,0.04057095,0.048028845,0.05400001,0.06691869,0.09476419
0.45273998,0.015413108,1786.7264,1.286,0.0,0.8281966,1.36,0.0007817223,0.45273998,0.053271156,2068.8938,1.286,0.0,0.8242873,1.36,0.0008204466,0.45273998,0.01717965,1102.0425,1.286,0.0,0.8627927,1.38,0.0004839015,0.22701785,0.24276705,0.24985032,0.24220353,0.22851418,0.22108108,0.20160192,0.1893316,0.16405353,0.15922302,0.1577811,0.15890491,0.16582555,0.17607403,0.20368396,0.25367254
0.7106279,0.05121373,4094.981,1.286,0.0,0.92919946,1.36,0.0009628441,0.7106279,0.0868076,3574.28,1.286,0.0,0.9441209,1.36,0.00061406556,0.7106279,0.09674486,3008.5269,1.286,0.0,0.8141141,1.38,0.00043985416,0.18270516,0.20183614,0.21121483,0.21353254,0.2068762,0.20674196,0.18638287,0.17137086,0.1405233,0.13887557,0.14334829,0.14539267,0.15019386,0.16397128,0.20856524,0.2881278
0.47988468,0.05597414,856.98376,1.286,0.0,0.82678616,1.36,0.00082540966,0.47988468,0.04438903,1740.6405,1.286,0.0,0.92871016,1.36,0.00063695165,0.47988468,0.08210848,1570.5723,1.286,0.0,0.8652121,1.38,0.00048503312,0.051528662,0.06206822,0.06718293,0.066448845,0.060539447,0.05730443,0.04734106,0.041151162,0.03028066,0.029169405,0.029188938,0.030072864,0.03527468,0.041289933,0.059744056,0.09798773
0.019137854,0.03634624,1704.5929,1.286,0.0,0.9081457,1.36,0.0007737279,0.019137854,0.099134505,1315.551,1.286,0.0,0.93939626,1.36,0.00064006756,0.019137854,0.05685668,3273.7979,1.286,0.0,0.8837243,1.38,0.00044255165,0.15712294,0.17214324,0.1775669,0.15908484,0.13816965,0.122479536,0.10592228,0.0977075,0.08269495,0.07705172,0.071818985,0.07271294,0.08301328,0.09018172,0.10182418,0.12703367
0.4063043,0.022565087,2199.4746,1.286,0.0,0.8562746,1.36,0.00080695335,0.4063043,0.0022826758,2123.9956,1.286,0.0,0.8203589,1.36,0.0006190563,0.4063043,0.06008115,3165.8848,1.286,0.0,0.9419056,1.38,0.0004488683,0.24667634,0.26928902,0.2793154,0.27085805,0.25409803,0.24507605,0.22105794,0.20593275,0.17485859,0.16913134,0.16780257,0.17013317,0.18179119,0.19655393,0.23113307,0.29306543
0.6018133,0.08857591,1916.9982,1.286,0.0,0.8795171,1.36,0.0009738299,0.6018133,0.054993495,2446.011,1.286,0.0,0.9152008,1.36,0.00065525726,0.6018133,0.051709853,2293.244,1.286,0.0,0.85397536,1.38,0.000574889,0.061253544,0.07157831,0.076713115,0.07739256,0.07273812,0.07088006,0.06025618,0.053132538,0.040053036,0.039124805,0.03994264,0.04094686,0.045892313,0.052744858,0.07580789,0.12313317
0.4161574,0.07570403,3284.8953,1.286,0.0,0.93018293,1.36,0.0009869395,0.4161574,0.04056099,3560.0708,1.286,0.0,0.86967033,1.36,0.0004689963,0.4161574,0.017200641,1902.1654,1.286,0.0,0.9144164,1.38,0.0005984152,0.13000493,0.14647429,0.15402217,0.14874348,0.13661979,0.12958531,0.11250217,0.10200092,0.08185692,0.078528255,0.07754984,0.078949496,0.08710891,0.09688493,0.123114385,0.17425752
0.46311682,0.0957714,2471.705,1.286,0.0,0.8558452,1.36,0.0007880783,0.46311682,0.07177422,863.7168,1.286,0.0,0.8281567,1.36,0.00062033936,0.46311682,0.053410996,158.50795,1.286,0.0,0.9394953,1.38,0.00054430764,0.07932816,0.09113062,0.09665685,0.093970634,0.086101964,0.08172795,0.06973994,0.062313586,0.048409436,0.046509825,0.046156198,0.047055937,0.052340113,0.05896271,0.07794517,0.11529585
0.09798467,0.05958985,2799.994,1.286,0.0,0.9318975,1.36,0.00082948204,0.09798467,0.07736388,1597.9396,1.286,0.0,0.9092617,1.36,0.0005422159,0.09798467,0.029254058,1688.1398,1.286,0.0,0.9284257,1.38,0.00042079168,0.16262302,0.18065085,0.1876257,0.17066643,0.14925586,0.13367064,0.11495374,0.10529445,0.08751034,0.08180243,0.07688213,0.07812427,0.089724466,0.0986019,0.11498414,0.14915279
0.16691397,0.086610116,2756.252,1.286,0.0,0.9134059,1.36,0.0007711639,0.16691397,0.015405827,82.923386,1.286,0.0,0.9019501,1.36,0.00065116945,0.16691397,0.07473696,1382.0999,1.286,0.0,0.9066219,1.38,0.00052536203,0.1151026,0.13022785,0.13636307,0.12458137,0.108526416,0.09704019,0.082123026,0.07423171,0.059935894,0.056001857,0.052918565,0.053872798,0.06229054,0.069314934,0.083996154,0.11445777
0.40230227,0.051439695,1502.346,1.286,0.0,0.8094454,1.36,0.0009106044,0.40230227,0.011180233,1401.3967,1.286,0.0,0.9328197,1.36,0.000635182,0.40230227,0.05030277,1398.6627,1.286,0.0,0.89109325,1.38,0.00050315855,0.09773617,0.11282777,0.11978923,0.11564858,0.1050446,0.098750636,0.08399887,0.07508886,0.05857448,0.056001347,0.055232577,0.056444544,0.063914314,0.07235985,0.095259584,0.14066523
0.14571455,0.09191315,3794.3733,1.286,0.0,0.91209614,1.36,0.0009704476,0.14571455,0.012149127,2446.501,1.286,0.0,0.84684736,1.36,0.00042903982,0.14571455,0.086981766,1714.3922,1.286,0.0,0.94156057,1.38,0.00059930177,0.14526114,0.16296147,0.17018664,0.15577275,0.13639592,0.12248954,0.104691416,0.09529953,0.078111,0.073185734,0.06917676,0.070362605,0.08099059,0.089649916,0.10705603,0.1432274
0.04909742,0.05839852,2095.7373,1.286,0.0,0.9284421,1.36,0.00094324915,0.04909742,0.052630108,2035.6879,1.286,0.0,0.94973254,1.36,0.0004662168,0.04909742,0.09021936,1448.9869,1.286,0.0,0.93807226,1.38,0.00059116224,0.13820475,0.15571207,0.16230597,0.1449668,0.12398307,0.108339846,0.09145164,0.083010405,0.06806759,0.06309562,0.05860165,0.059676435,0.070185274,0.07783704,0.09147276,0.120914616
0.81096685,0.012507319,756.11896,1.286,0.0,0.82422304,1.36,0.00063988706,0.81096685,0.09606147,1538.5771,1.286,0.0,0.8425714,1.36,0.0006697733,0.81096685,0.018108256,1840.2997,1.286,0.0,0.844548,1.38,0.00055527565,0.09122058,0.100124784,0.104734756,0.107041985,0.104348965,0.104657836,0.093287624,0.08482996,0.068780616,0.068332985,0.070629306,0.071502686,0.07494492,0.08277818,0.113780886,0.17548844
0.1066564,0.0135777155,1363.0298,1.286,0.0,0.8770346,1.36,0.0006564948,0.1066564,0.07678464,2288.511,1.286,0.0,0.8676238,1.36,0.00061889115,0.1066564,0.008464262,2894.7612,1.286,0.0,0.8468724,1.38,0.00044046438,0.20960572,0.22543223,0.23146887,0.21356234,0.19199032,0.17630824,0.15726681,0.14737059,0.12869515,0.12216988,0.11634884,0.117134005,0.12786008,0.13623448,0.15254107,0.1864306
0.6012716,0.089224145,1612.3877,1.286,0.0,0.93086874,1.36,0.0007787711,0.6012716,0.07464025,2196.2615,1.286,0.0,0.8475734,1.36,0.00066090794,0.6012716,0.034947596,818.1619,1.286,0.0,0.84340394,1.38,0.0005569912,0.050237045,0.059430122,0.06405873,0.06490366,0.060864855,0.059242334,0.049846273,0.043573998,0.032270662,0.031554546,0.032253042,0.033124086,0.0377091,0.043788597,0.06445998,0.10737635
0.9182426,0.059602913,1931.7667,1.286,0.0,0.8517575,1.36,0.0007266005,0.9182426,0.045204062,702.11707,1.286,0.0,0.8935928,1.36,0.00052515994,0.9182426,0.094103746,2521.1687,1.286,0.0,0.8921198,1.38,0.0004411922,0.07783405,0.08936081,0.09533741,0.10118664,0.100792184,0.10384447,0.09144883,0.081371136,0.06185036,0.06254466,0.06752432,0.06898601,0.07212131,0.081922926,0.12068573,0.19614305
0.7577878,0.06744476,2248.5505,1.286,0.0,0.93306446,1.36,0.0009822764,0.7577878,0.053926818,3373.5764,1.286,0.0,0.84734386,1.36,0.0005969972,0.7577878,0.06331995,795.38776,1.286,0.0,0.8144235,1.38,0.00056800124,0.08644018,0.09962294,0.10633673,0.11011683,0.10699169,0.10775074,0.09382003,0.083401546,0.0635232,0.06318586,0.06643588,0.06792108,0.072871566,0.082963385,0.119070925,0.18950991
0.5459726,0.058837667,1850.865,1.286,0.0,0.8992133,1.36,0.000800483,0.5459726,0.006893053,1921.928,1.286,0.0,0.899976,1.36,0.0007451109,0.5459726,0.012781609,2522.0066,1.286,0.0,0.83896744,1.38,0.0005230731,0.09738948,0.11370031,0.12172556,0.12206798,0.114304185,0.1110348,0.09491349,0.084206864,0.064097874,0.062357944,0.06337983,0.06506851,0.07304821,0.08394728,0.11693073,0.18136138
0.45565742,0.05239303,997.75134,1.286,0.0,0.82285094,1.36,0.0006330288,0.45565742,0.020519137,315.166,1.286,0.0,0.85048974,1.36,0.00057358673,0.45565742,0.020429928,2137.6445,1.286,0.0,0.87228334,1.38,0.00054494076,0.06984561,0.0838387,0.09053228,0.089274764,0.08148846,0.07730951,0.06443471,0.056341674,0.041654047,0.039958294,0.0399821,0.04128629,0.04832882,0.05663626,0.079938084,0.12598799
0.09079269,0.056652095,2436.4194,1.286,0.0,0.9300221,1.36,0.001001572,0.09079269,0.028283654,1810.7256,1.286,0.0,0.86244464,1.36,0.00079902523,0.09079269,0.07930286,1403.5582,1.286,0.0,0.81946135,1.38,0.00051728566,0.15500523,0.17368719,0.18096495,0.1638742,0.14226624,0.1264314,0.1078939,0.09838982,0.0811136,0.07564436,0.07095589,0.07221656,0.08382186,0.09265291,0.10910104,0.14387457
0.4046147,0.009395981,1320.3954,1.286,0.0,0.8650848,1.36,0.0009754105,0.4046147,0.008299503,2782.9907,1.286,0.0,0.8043391,1.36,0.00043926304,0.4046147,0.08704471,1874.8723,1.286,0.0,0.8328401,1.38,0.00046817475,0.28692898,0.3046208,0.31203848,0.30189976,0.28591084,0.27713138,0.25561193,0.24215226,0.21342133,0.20722425,0.20514391,0.20668787,0.21525796,0.22705317,0.2545116,0.3021236
0.14874713,0.08781074,913.059,1.286,0.0,0.92313486,1.36,0.0008604875,0.14874713,0.045919392,2715.3025,1.286,0.0,0.87409323,1.36,0.0004731859,0.14874713,0.06847902,639.2882,1.286,0.0,0.8664612,1.38,0.00044241213,0.043036323,0.053284824,0.057745345,0.05177794,0.04242768,0.03545443,0.027717197,0.023860019,0.017805072,0.016521811,0.015404324,0.015884236,0.020191818,0.023645023,0.032293662,0.052058965
0.15448344,0.013785301,2228.236,1.286,0.0,0.9148662,1.36,0.0009135983,0.15448344,0.03576042,1068.6785,1.286,0.0,0.86703265,1.36,0.0006585018,0.15448344,0.05657576,965.81323,1.286,0.0,0.88655746,1.38,0.0004322384,0.29996893,0.3146722,0.32022303,0.3015461,0.27969044,0.26461118,0.2433534,0.23177971,0.2080451,0.1996594,0.19273399,0.19385044,0.20603809,0.21611004,0.23414284,0.26849145
0.025586175,0.086230665,2032.4839,1.286,0.0,0.83362865,1.36,0.0009290552,0.025586175,0.002045184,178.99437,1.286,0.0,0.8664548,1.36,0.0007882506,0.025586175,0.07175888,1404.1245,1.286,0.0,0.93602467,1.38,0.0005453726,0.09864518,0.11313753,0.11865168,0.10444584,0.087261885,0.07426489,0.06130871,0.055021096,0.04437219,0.040892594,0.037620448,0.038352676,0.046056144,0.051497407,0.061468937,0.083795175
0.34838423,0.0040024132,3575.0107,1.286,0.0,0.85300064,1.36,0.0008106504,0.34838423,0.07987564,2323.996,1.286,0.0,0.85917926,1.36,0.0004451428,0.34838423,0.04923788,2530.6626,1.286,0.0,0.88545233,1.38,0.00043519645,0.46718988,0.4737172,0.47621426,0.4628837,0.44815984,0.43876553,0.4226927,0.41337126,0.39308766,0.3864608,0.38131997,0.38058743,0.3836439,0.38881487,0.40389815,0.43040058
0.33373007,0.028164472,1140.9749,1.286,0.0,0.91482085,1.36,0.0008680432,0.33373007,0.009853656,2342.4624,1.286,0.0,0.8638483,1.36,0.00058703206,0.33373007,0.01684585,2992.262,1.286,0.0,0.84984356,1.38,0.0005524072,0.1586451,0.18217601,0.19260916,0.18463565,0.16773225,0.15751944,0.13555251,0.122376144,0.09711384,0.0925014,0.09079942,0.09319505,0.106455624,0.1203756,0.15198338,0.21229191
0.72558695,0.08365402,2367.493,1.286,0.0,0.9438267,1.36,0.00080165296,0.72558695,0.026659649,1836.5525,1.286,0.0,0.8900488,1.36,0.0005546986,0.72558695,0.09474177,1674.8699,1.286,0.0,0.8620361,1.38,0.0005334747,0.07452707,0.086584754,0.09269256,0.095622174,0.09227207,0.09236343,0.079707764,0.0705066,0.05314308,0.052627288,0.05511902,0.056421686,0.061275255,0.07022414,0.10184994,0.16414967
0.84498084,0.07387041,2817.643,1.286,0.0,0.9006789,1.36,0.0009012583,0.84498084,0.0014679519,728.35406,1.286,0.0,0.83741087,1.36,0.00047239137,0.84498084,0.051615052,5210.761,1.286,0.0,0.8501815,1.38,0.00039874707,0.09453644,0.10856693,0.11581314,0.12186838,0.12033117,0.12290241,0.10795422,0.09615235,0.073489204,0.07382267,0.078834526,0.08060616,0.08535039,0.09721684,0.14152646,0.22743154
0.9940985,0.025096152,2370.6091,1.286,0.0,0.9313152,1.36,0.00072690524,0.9940985,0.022152612,3419.7224,1.286,0.0,0.91202855,1.36,0.000418537,0.9940985,0.031975873,2136.4075,1.286,0.0,0.87103266,1.38,0.00044800123,0.19033036,0.21104819,0.22163431,0.23271261,0.23350725,0.2415367,0.22097032,0.20299505,0.16507502,0.1670522,0.17970875,0.18231921,0.18034348,0.19642577,0.2575781,0.35985616
